fecha,Gastos,Ingresos,Pais_FK,Producto_FK
1/1/2017,4133.843388960206,6717.495507060334,CRI,2
1/1/2017,4204.364456596036,7708.001503759399,IRL,2
1/1/2017,4394.145576893454,6731.77184338896,NZL,2
1/1/2017,5595.671800332779,9143.254575707155,NOR,2
1/1/2017,6954.2492915078665,11044.984168865434,SVK,2
1/1/2017,7456.676962025316,12427.79493670886,ISR,2
1/1/2017,7480.725128037486,13235.129072681704,SWE,2
1/1/2017,8401.196615581099,9492.261111111111,IRL,7
1/1/2017,8451.94914666667,10220.624611320754,NZL,7
1/1/2017,8619.085724221875,13689.136150234743,CHE,2
1/1/2017,8794.785940683721,13545.324881141047,FIN,2
1/1/2017,9398.248541066281,15344.07925072046,PRT,2
1/1/2017,9401.111043126386,17393.492908536587,NZL,3
1/1/2017,9577.235978223098,10789.544329896908,CRI,7
1/1/2017,9913.035035035036,15744.23211446741,AUT,2
1/1/2017,9914.54738878143,18176.670212765956,IRL,1
1/1/2017,10085.849053776436,15596.08912386707,HUN,2
1/1/2017,10407.36769407062,11568.623157894737,NOR,7
1/1/2017,10643.245423728813,17738.742372881356,CRI,1
1/1/2017,10701.286298568508,16051.92944785276,CRI,3
1/1/2017,10739.126449521002,18627.44406779661,NOR,1
1/1/2017,11518.478027867097,17277.717041800643,CZE,2
1/1/2017,12027.940434240885,20793.23350253807,GRC,2
1/1/2017,12035.92621212121,18757.287603305784,DOM,2
1/1/2017,12080.203299429422,18438.205035971223,IRL,3
1/1/2017,12373.130853517878,15390.967647058824,CRI,6
1/1/2017,12735.175719828467,14479.72033898305,IRL,6
1/1/2017,12938.207282184656,21563.678803641094,BEL,2
1/1/2017,13712.421652991796,16629.958174904943,CHE,7
1/1/2017,13829.020664451826,21298.821705426355,NOR,3
1/1/2017,13895.51723146977,16403.271641791045,NOR,6
1/1/2017,14180.968642496684,21122.219888446216,NZL,1
1/1/2017,15423.330443028357,17603.08028938907,NZL,6
1/1/2017,15709.194797912261,17514.849372384935,SVK,7
1/1/2017,16213.54105705066,19522.426987060997,SWE,7
1/1/2017,16345.347777108434,26972.52108433735,ECU,2
1/1/2017,16377.88364696528,19938.293135435993,CZE,7
1/1/2017,16787.61698489598,30777.297805642633,ISR,3
1/1/2017,17272.886541213888,31046.037900874635,PRT,3
1/1/2017,17531.149837133547,27270.677524429968,SVK,3
1/1/2017,17591.46907993967,28586.13725490196,CHE,3
1/1/2017,17940.438405797104,31740.77564102564,AUT,3
1/1/2017,17966.9911971831,30800.55633802817,CHE,1
1/1/2017,18141.09016999261,21769.30820399113,ISR,7
1/1/2017,18141.202058970513,20399.98275862069,PRT,7
1/1/2017,18300.01222459133,21115.398720682304,AUT,7
1/1/2017,18567.837931034483,29472.758620689656,FIN,1
1/1/2017,18790.734924623117,21475.125628140704,FIN,6
1/1/2017,18852.810323921705,33354.97211155378,SVK,1
1/1/2017,18916.357611940297,31527.262686567163,SWE,3
1/1/2017,19013.77700072098,22031.836842105262,SVK,6
1/1/2017,19146.99694323144,18661.7903930131,FIN,7
1/1/2017,19437.104110054348,33387.109375,FIN,3
1/1/2017,19973.388985879334,36987.75738125802,AUS,2
1/1/2017,20187.2754872165,19855.021153846155,HUN,7
1/1/2017,21464.45879120879,33389.158119658125,CHL,2
1/1/2017,21637.17421670385,25879.757396449702,CHE,6
1/1/2017,21905.018594041616,25327.677749360617,AUT,6
1/1/2017,21947.197936906596,28224.277182235837,GTM,2
1/1/2017,21959.26325780772,38851.00422535212,CMR,2
1/1/2017,22185.134183363694,35235.2131147541,CZE,3
1/1/2017,22395.48315169367,23398.265979381446,DOM,7
1/1/2017,23867.95777886435,32569.75078864353,HUN,3
1/1/2017,23907.365259740254,43830.16964285714,ISR,1
1/1/2017,24467.103474903477,28544.954054054055,SWE,6
1/1/2017,24718.167459239125,42374.00135869565,YEM,2
1/1/2017,25116.98083029039,38098.195571955715,HUN,1
1/1/2017,26079.620062111808,41568.34798534799,DOM,3
1/1/2017,27327.773241788826,30971.476340694004,ISR,6
1/1/2017,27508.67222222222,47157.72380952381,AUT,1
1/1/2017,27598.408284225083,32386.535262206147,ECU,7
1/1/2017,28115.396331072487,31598.78635014837,PRT,6
1/1/2017,28190.15169899425,41372.186197916664,MYS,2
1/1/2017,28193.277804045185,44777.55886524823,AGO,2
1/1/2017,29476.41891784079,30912.00898203593,HUN,6
1/1/2017,29501.051332118364,33098.74051896207,BEL,7
1/1/2017,30051.471182227746,34225.28662420382,CZE,6
1/1/2017,30646.126894533343,33644.90349075975,GRC,7
1/1/2017,30757.724094087735,49981.301652892565,VEN,2
1/1/2017,31381.322564755832,51727.45477707006,POL,2
1/1/2017,31814.790749576725,35841.979452054795,CRI,5
1/1/2017,32004.398119122252,48848.81818181818,CZE,1
1/1/2017,33108.56739811912,50534.12918660287,SWE,1
1/1/2017,33365.090284360194,50468.2037914692,PRT,1
1/1/2017,35057.80106100795,64272.63527851459,UKR,2
1/1/2017,35562.89307598039,60964.95955882353,BEL,3
1/1/2017,35570.370390008255,62932.19376693767,ARG,2
1/1/2017,35725.68574074074,49772.62719298245,DOM,1
1/1/2017,36188.0482300885,64671.72566371681,SDN,2
1/1/2017,36402.53601298701,36844.67207792208,DOM,6
1/1/2017,36938.01389009703,62517.32454695222,PER,2
1/1/2017,37959.85381590196,45414.01652892562,NOR,5
1/1/2017,38548.41578829334,42928.91758241758,CHL,7
1/1/2017,38643.57635316361,45934.817174515236,BEL,6
1/1/2017,38905.68847758081,60519.959854014596,BEL,1
1/1/2017,39867.68465408806,54365.02452830189,AUS,7
1/1/2017,40462.47480602464,57219.66134185303,ECU,3
1/1/2017,40748.76678031432,48761.245076923085,NZL,5
1/1/2017,40855.032265154885,55542.60338983051,GRC,3
1/1/2017,42016.389861279466,41376.43434343435,GRC,6
1/1/2017,42273.73437661965,74051.47682119206,KOR,2
1/1/2017,43044.346098764276,40241.16375545851,GTM,7
1/1/2017,43124.362583148555,87845.9237804878,AUS,3
1/1/2017,43765.48277389278,62621.51748251748,ECU,1
1/1/2017,44423.782,51258.21,IRL,5
1/1/2017,44841.86082949309,74736.43471582182,ESP,2
1/1/2017,45138.02486402487,51775.9696969697,IRL,4
1/1/2017,45164.424804733724,69237.91538461538,DZA,2
1/1/2017,45749.18614984675,63553.28620689655,GTM,3
1/1/2017,46065.231892363634,81993.1312,KEN,2
1/1/2017,47251.41549071618,72120.58153846154,CHL,3
1/1/2017,48847.10405257392,89553.02409638553,ITA,2
1/1/2017,50198.23655584182,55838.48785425101,CMR,7
1/1/2017,50368.9814727471,53576.898255813954,GTM,6
1/1/2017,52011.29085310344,68271.11666666667,GRC,1
1/1/2017,53457.77713178295,80186.66569767441,CMR,3
1/1/2017,54090.91011093504,104020.98098256736,ZAF,2
1/1/2017,55009.482688011914,56676.43670886076,ECU,6
1/1/2017,55047.02489714675,62011.583413043474,NZL,4
1/1/2017,55270.708632493006,77438.8781512605,GTM,1
1/1/2017,56277.1785207036,89381.40117994101,TZA,2
1/1/2017,56337.240803400004,97402.4243281471,GBR,2
1/1/2017,56389.85388127854,84584.7808219178,COL,2
1/1/2017,56708.15250882961,66319.7037815126,AGO,7
1/1/2017,56973.44720496894,64569.90683229814,YEM,7
1/1/2017,57466.598835427525,93383.22310756972,CHL,1
1/1/2017,58241.07358323867,70632.79136690647,ISR,5
1/1/2017,58512.69230769231,95083.125,YEM,3
1/1/2017,58904.88113341953,65244.022587269,MYS,7
1/1/2017,59464.788857142856,65417.80952380952,NOR,4
1/1/2017,60298.131767449624,61935.507246376816,FIN,5
1/1/2017,60488.22967741935,75610.28709677419,CHL,6
1/1/2017,61510.07453416149,71761.7536231884,AUT,5
1/1/2017,63872.2405511811,86313.83858267717,SDN,7
1/1/2017,64547.69257616355,72718.28657314628,VEN,7
1/1/2017,65050.31487383799,114794.67330677291,AUS,1
1/1/2017,65328.47075405215,119768.86304909561,IRN,2
1/1/2017,67113.30340611353,82855.93013100437,PER,7
1/1/2017,67219.32161777778,84730.23733333332,MYS,6
1/1/2017,69217.99417813397,81152.13110539845,AGO,6
1/1/2017,70066.73573627158,106943.96507115137,TUR,2
1/1/2017,70084.91033950618,78234.31851851853,SWE,5
1/1/2017,70116.77777777778,105175.16666666666,THA,2
1/1/2017,70749.2222157264,92647.79099678456,AUS,6
1/1/2017,71060.59100000001,77344.86095238096,POL,7
1/1/2017,71353.10795454544,87209.35416666666,SVK,4
1/1/2017,71818.67113967215,76478.6,HUN,5
1/1/2017,71958.81652173914,119931.36086956522,CMR,1
1/1/2017,72424.84507227334,103464.0643889619,FRA,2
1/1/2017,72504.06214765101,106623.62080536912,MYS,3
1/1/2017,73132.68370497428,127691.98742138366,POL,3
1/1/2017,73227.22173524788,115343.51367781156,PER,3
1/1/2017,73454.3016194332,119363.24013157895,VEN,3
1/1/2017,73857.3426981182,135405.12827988339,ARG,3
1/1/2017,73914.6069657832,88128.95445920304,ARG,7
1/1/2017,75048.52542372882,88693.71186440678,CRI,4
1/1/2017,75715.60780859519,87016.44479495268,CMR,6
1/1/2017,77039.77074361182,122357.28294573643,AGO,3
1/1/2017,78289.20462328767,90716.0625,VEN,6
1/1/2017,79734.26666666668,93023.31111111112,SVK,5
1/1/2017,79784.50208730702,101737.30831099195,PER,6
1/1/2017,81087.0863265306,98911.30769230769,DZA,7
1/1/2017,82313.65115531917,101515.13,POL,6
1/1/2017,82601.15730337078,93057,CHE,5
1/1/2017,82647.88739130435,103534.93518518518,KOR,7
1/1/2017,84003.02217185385,139810.8552097429,PHL,2
1/1/2017,85600.38255451713,136596.3551401869,SDN,3
1/1/2017,86542.06003081663,152558.11864406778,DZA,1
1/1/2017,86636.03135284947,110701.59561752988,COL,7
1/1/2017,86964.68044077136,130447.02066115703,AGO,1
1/1/2017,88046.90870786516,98284.9213483146,CHE,4
1/1/2017,88798.9726705653,107692.3711111111,UKR,7
1/1/2017,89948.01999002992,96170.83898305085,DOM,5
1/1/2017,91355.80383677091,145094.5119760479,UKR,3
1/1/2017,91547.74461839529,142407.60273972602,YEM,1
1/1/2017,92093.71287128713,102928.26732673268,YEM,6
1/1/2017,92574.78938076923,113481.59,DOM,4
1/1/2017,92720.47806941238,92850.03625954199,ESP,7
1/1/2017,93299.99312130177,133149.8372781065,DZA,3
1/1/2017,93462.8987205616,165357.43619791666,JPN,2
1/1/2017,94047.75730143538,170713.75087719297,ESP,1
1/1/2017,96284.44114396242,117215.8413926499,TZA,7
1/1/2017,96448.49028768133,109660.61224489794,CZE,5
1/1/2017,96921.24945508101,109781.35051546391,PRT,5
1/1/2017,97551.3153386211,171965.4597315436,KEN,3
1/1/2017,98239.11014534054,149943.90495867768,VEN,1
1/1/2017,98878.54411873838,174305.12585034012,KEN,1
1/1/2017,99491.81419130387,112380.93640350876,KEN,7
1/1/2017,99544.47175624786,127195.71391076116,UKR,6
1/1/2017,103765.66267669172,112092.53684210526,PRT,4
1/1/2017,103916.28582524272,129895.3572815534,ITA,7
1/1/2017,104362.853300813,154994.33658536585,MYS,1
1/1/2017,105028.91897435898,159506.53582554517,EGY,2
1/1/2017,107255.66288659796,128584.83870967742,SDN,6
1/1/2017,108183.9233570314,125355.97468354431,AUT,4
1/1/2017,108438.58672583825,155940.4455128205,ESP,3
1/1/2017,109164.98089655171,175389.72,SDN,1
1/1/2017,110384.50681735987,138475.18776371307,ZAF,7
1/1/2017,113528.50051072522,208135.5842696629,COL,3
1/1/2017,115692.66679004524,126038.98461538462,GRC,5
1/1/2017,118000.49299145302,173530.13675213678,POL,1
1/1/2017,118824.68627450982,178237.0294117647,TZA,3
1/1/2017,119876.49244580242,179381.7482419128,MEX,2
1/1/2017,121896.77480464941,125909.89024390244,HUN,4
1/1/2017,122117.42218934913,133149.8372781065,DZA,6
1/1/2017,122288.8177577465,178159.69953051643,PER,1
1/1/2017,122653.00984251968,190793.57086614173,UKR,1
1/1/2017,125127.1620294599,203331.63829787233,ITA,3
1/1/2017,125797.10544919,140256.54285714286,ISR,4
1/1/2017,126224.81403774464,188881.30067567568,KOR,1
1/1/2017,128153.5077980439,208249.4501718213,TZA,1
1/1/2017,129057.19124413143,132932.8387978142,ESP,6
1/1/2017,129133.16262755102,152626.7857142857,FIN,4
1/1/2017,130620.77150537635,160307.31048387097,THA,7
1/1/2017,131260.26639883712,161658.38170347002,KEN,6
1/1/2017,131672.59222059976,213802.08143322475,ZAF,3
1/1/2017,131971.90535519127,152275.27540983606,ARG,6
1/1/2017,133562.63185894513,156590.67183462533,TZA,6
1/1/2017,136969.529346,234229.6394557823,GBR,1
1/1/2017,138207.4802141236,141772.71538461538,GTM,5
1/1/2017,140313.6416270297,157636.31343283583,SWE,4
1/1/2017,141077.23707210267,150547.13766730402,FRA,7
1/1/2017,142135.4485714286,165824.69,BEL,5
1/1/2017,142909.22627441314,145897.2754237288,GBR,7
1/1/2017,144624.81014513376,222744.48207171314,KOR,3
1/1/2017,145267.5207373272,221724.11059907835,RUS,2
1/1/2017,146212.46351851852,232219.795,ARG,1
1/1/2017,149529.50569800573,237488.0384615385,COL,1
1/1/2017,149897.7448680352,233174.26979472142,THA,3
1/1/2017,152096.58501221,169782.23443223443,IRN,7
1/1/2017,152305.33886452243,163476.2134502924,KOR,6
1/1/2017,152918.03952569168,195395.2727272727,CZE,4
1/1/2017,154284.88034188034,245040.6923076923,ITA,1
1/1/2017,154358.81765699037,184625.25249169435,COL,6
1/1/2017,157113.1168831169,178934.3831168831,TUR,7
1/1/2017,157208.0907214765,264215.27852348995,FRA,3
1/1/2017,160791.28198937667,182661.84084880634,GBR,6
1/1/2017,164646.01053658538,187513.51200000002,CHL,5
1/1/2017,165190.37657142858,199505.2857142857,ZAF,6
1/1/2017,166503.78531583826,236644.37800687284,GBR,3
1/1/2017,169020.23842917255,299035.8064516129,IRN,3
1/1/2017,171246.2830769231,192578.00000000003,ECU,5
1/1/2017,176316.87896096832,213831.1085271318,CMR,5
1/1/2017,178722.20763851533,290423.5874125874,BRA,2
1/1/2017,178744.31734234237,197689.56756756757,EGY,7
1/1/2017,185244.00322580646,213743.0806451613,THA,6
1/1/2017,186195.00213470744,296634.1945773525,NGA,2
1/1/2017,188416.3760683761,306176.6111111111,TUR,3
1/1/2017,190019.07434944232,295585.2267657992,THA,1
1/1/2017,193364.57530372852,222224.95967741936,TUR,6
1/1/2017,193481.19928222997,320181.6536585366,ZAF,1
1/1/2017,193996.53636363638,215793.9,ITA,6
1/1/2017,194096.45933969182,208849.2122015915,FRA,6
1/1/2017,195783.80503086423,285275.9166666667,FRA,1
1/1/2017,197402.8059940517,221186.27659574468,YEM,5
1/1/2017,197634.49282786882,338801.987704918,TUR,1
1/1/2017,197809.54747725397,246268.91452991456,AUS,5
1/1/2017,200950.10919276162,222194.02580645162,PHL,7
1/1/2017,201952.57513914653,370246.387755102,JPN,3
1/1/2017,213751.36740681823,209436.9659090909,GTM,4
1/1/2017,213945.86516746413,235654.65789473683,ECU,4
1/1/2017,215226.2084984937,265278.8151260504,AGO,5
1/1/2017,216513.5285662954,383062.3966942149,IRN,1
1/1/2017,229154.00503496506,344791.9057239057,EGY,3
1/1/2017,232986.2063867534,260396.34831460673,IRN,6
1/1/2017,235967.4808088235,264781.99166666664,MYS,5
1/1/2017,238940.79066666664,386427.1547169811,EGY,1
1/1/2017,248386.09473815007,282169.0774336283,MEX,7
1/1/2017,250315.45719758063,416613.7983870968,PHL,1
1/1/2017,252187.68141843972,282210.02444444445,JPN,7
1/1/2017,252352.74796686397,358675.07692307694,IDN,2
1/1/2017,252509.28851902176,313189.8152173913,AUS,4
1/1/2017,253457.06746643523,398563.821875,MEX,3
